R	53.347	-6.25425	P412	16 Oct 2020	P412\n15:05 - Newbridge to Dublin Pearse (1 mins late)\nDeparted Tara Street next stop Dublin Pearse	To Dublin Pearse
R	53.3531	-6.24591	E120	16 Oct 2020	E120\n15:31 - Malahide to Greystones (0 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E828	16 Oct 2020	E828\n15:05 - Bray to Malahide (0 mins late)\nArrived Clontarf Road next stop Killester	Northbound
R	53.3632	-6.25908	A909	16 Oct 2020	A909\n13:05 - Sligo to Dublin Connolly (1 mins late)\nArrived Drumcondra next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D920	16 Oct 2020	D920\n15:13 - Dublin Pearse to Maynooth (3 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	E240	16 Oct 2020	E240\n15:40 - Howth to Bray (0 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3777	-6.34591	P318	16 Oct 2020	P318\n15:40 - M3 Parkway to Docklands (0 mins late)\nDeparted Navan Road Parkway next stop Broombridge	Southbound
R	53.3815	-6.17699	D814	16 Oct 2020	D814\n15:43 - Dublin Pearse to Drogheda (0 mins late)\nDeparted Raheny next stop Malahide	Northbound
R	53.3816	-6.37149	D921	16 Oct 2020	D921\n15:38 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Castleknock next stop Coolmine	Northbound
R	53.3831	-6.4242	P750	16 Oct 2020	P750\n15:42 - Maynooth to Dublin Connolly (1 mins late)\nArrived Clonsilla next stop Coolmine	Southbound
R	53.3909	-6.15672	E928	16 Oct 2020	E928\n14:55 - Bray to Howth (0 mins late)\nArrived Howth Junction next stop Bayside	Northbound
T	0	0	A804	16 Oct 2020	A804\n12:45 - Dublin Heuston to Westport(2 mins late)\nTERMINATED Athlone Midland Yard at 15:56	To Westport
T	53.1442	-6.06085	E118	16 Oct 2020	E118\n14:32 - Malahide to Greystones(0 mins late)\nTERMINATED Greystones at 15:57	Southbound
T	53.2043	-6.10046	E236	16 Oct 2020	E236\n14:43 - Howth to Bray(0 mins late)\nTERMINATED Bray at 15:56	Southbound
T	53.3531	-6.24591	A609	16 Oct 2020	A609\n12:55 - Rosslare Europort to Dublin Connolly(2 mins late)\nTERMINATED Dublin Connolly at 15:58	Northbound
T	53.3891	-6.07401	E927	16 Oct 2020	E927\n14:35 - Bray to Howth(0 mins late)\nTERMINATED Howth at 15:51	Northbound
