R	53.3531	-6.24591	E239	16 Oct 2020	E239\n15:20 - Howth to Bray (1 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E928	16 Oct 2020	E928\n14:55 - Bray to Howth (0 mins late)\nDeparted Clontarf Road next stop Killester	Northbound
R	53.3629	-6.22753	P615	16 Oct 2020	P615\n14:50 - Drogheda to Bray (1 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D411	16 Oct 2020	D411\n15:20 - Grand Canal Dock to Hazelhatch (1 mins late)\nDeparted Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3632	-6.25908	P412	16 Oct 2020	P412\n15:05 - Newbridge to Dublin Pearse (1 mins late)\nArrived Drumcondra next stop Dublin Connolly	To Dublin Pearse
R	53.3704	-6.50598	P750	16 Oct 2020	P750\n15:42 - Maynooth to Dublin Connolly (0 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey)	Southbound
R	53.3725	-6.29869	D921	16 Oct 2020	D921\n15:38 - Dublin Connolly to Maynooth (0 mins late)\nDeparted Broombridge next stop Ashtown	Northbound
R	53.373	-6.20442	E120	16 Oct 2020	E120\n15:31 - Malahide to Greystones (-2 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3743	-6.48624	A909	16 Oct 2020	A909\n13:05 - Sligo to Dublin Connolly (5 mins late)\nDeparted Leixlip (Confey) next stop Drumcondra	Southbound
R	53.3776	-6.39072	D920	16 Oct 2020	D920\n15:13 - Dublin Pearse to Maynooth (3 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.378	-6.58993	A908	16 Oct 2020	A908\n15:00 - Dublin Connolly to Sligo (3 mins late)\nDeparted Maynooth next stop Kilcock	Northbound
R	53.3853	-6.44205	P318	16 Oct 2020	P318\n15:40 - M3 Parkway to Docklands (0 mins late)\nArrived Hansfield next stop Clonsilla	Southbound
R	53.387	-6.16163	E827	16 Oct 2020	E827\n14:34 - Greystones to Malahide (2 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.3909	-6.15672	E240	16 Oct 2020	E240\n15:40 - Howth to Bray (0 mins late)\nArrived Howth Junction next stop Kilbarrack	Southbound
R	53.392	-6.11448	E927	16 Oct 2020	E927\n14:35 - Bray to Howth (3 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4509	-6.15649	D813	16 Oct 2020	D813\n15:22 - Dublin Connolly to Drogheda (3 mins late)\nDeparted Malahide next stop Donabate	Northbound
R	53.4855	-6.15134	P616	16 Oct 2020	P616\n15:10 - Drogheda to Dublin Pearse (3 mins late)\nDeparted Donabate next stop Malahide	Southbound
R	53.6118	-6.18226	A130	16 Oct 2020	A130\n15:20 - Dublin Connolly to Belfast (2 mins late)\nDeparted Balbriggan next stop Drogheda	Northbound
R	53.712	-6.33538	A129	16 Oct 2020	A129\n14:05 - Belfast to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Dublin Connolly	Southbound
R	53.9383	-8.10657	A911	16 Oct 2020	A911\n15:05 - Sligo to Dublin Connolly (0 mins late)\nArrived Carrick on Shannon next stop Dromod	Southbound
R	53.9676	-8.30438	A906	16 Oct 2020	A906\n13:00 - Dublin Connolly to Sligo (-1 mins late)\nDeparted Boyle next stop Ballymote	Northbound
T	53.0371	-7.30086	D209	16 Oct 2020	D209\n14:20 - Dublin Heuston to Portlaoise(17 mins late)\nTERMINATED Portlaoise at 15:45	To Portlaoise
T	53.3531	-6.24591	P749	16 Oct 2020	P749\n15:05 - Maynooth to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 15:48	Southbound
T	53.4509	-6.15649	E826	16 Oct 2020	E826\n14:25 - Bray to Malahide(2 mins late)\nTERMINATED Malahide at 15:43	Northbound
T	53.712	-6.33538	D812	16 Oct 2020	D812\n14:50 - Dublin Connolly to Drogheda(3 mins late)\nTERMINATED Drogheda at 15:46	Northbound
